year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1977,FY,New South Wales,NSW,production,prod_milk_total,Total milk production,875.0,megalitres,high,875.0,ML,
1977,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,1664000.0,head,high,1664000.0,head,
1977,CY,Queensland,QLD,herd,herd_dairy_cattle,Dairy cattle numbers,432532.0,head,high,432532.0,head,
1977,FY,Queensland,QLD,herd,herd_dairy_cows,Dairy cow numbers,287337.0,head,high,287.337,'000,
1977,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,11506400.0,head,high,11506400.0,head,
1977,FY,Queensland,QLD,production,prod_milk_total,Total milk production,537.0,megalitres,high,537.0,ML,
1977,CY,South Australia,SA,herd,herd_dairy_cattle,Dairy cattle numbers,175000.0,head,high,175000.0,head,
1977,FY,South Australia,SA,herd,herd_dairy_cows,Dairy cow numbers,111776.0,head,high,111.776,'000,
1977,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,1607800.0,head,high,1607800.0,head,
1977,FY,South Australia,SA,production,prod_milk_total,Total milk production,316.0,megalitres,high,316.0,ML,
1977,CY,Tasmania,TAS,herd,herd_dairy_cattle,Dairy cattle numbers,186701.0,head,high,186701.0,head,
1977,FY,Tasmania,TAS,herd,herd_dairy_cows,Dairy cow numbers,117829.0,head,high,117.829,'000,
1977,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,819000.0,head,high,819000.0,head,
1977,FY,Tasmania,TAS,production,prod_milk_total,Total milk production,381.0,megalitres,high,381.0,ML,
1977,CY,Victoria,VIC,herd,herd_dairy_cattle,Dairy cattle numbers,1628000.0,head,high,1628000.0,head,
1977,FY,Victoria,VIC,herd,herd_dairy_cows,Dairy cow numbers,1124690.0,head,high,1124.69,'000,
1977,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,5104300.0,head,high,5104300.0,head,
1977,FY,Victoria,VIC,production,prod_milk_total,Total milk production,3013.0,megalitres,high,3013.0,ML,
1977,CY,Western Australia,WA,herd,herd_dairy_cattle,Dairy cattle numbers,142904.0,head,high,142904.0,head,
1977,FY,Western Australia,WA,herd,herd_dairy_cows,Dairy cow numbers,74107.0,head,high,74.107,'000,
1977,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,2464000.0,head,high,2464000.0,head,
1977,FY,Western Australia,WA,production,prod_milk_total,Total milk production,212.0,megalitres,high,212.0,ML,
1978,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,16900.0,head,high,16900.0,head,
1978,CY,Australia (National),AUS,herd,herd_dairy_cattle,Dairy cattle numbers,3062000.0,head,high,3062000.0,head,
1978,FY,Australia (National),AUS,herd,herd_dairy_cows,Dairy cow numbers,1921000.0,head,high,1921.0,head,
1978,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,29330000.0,head,high,29330000.0,head,
